n_scales,p_min,flag,delta_med,delta_cv,pi_hat,z_hat,delta_at_pmin,pi_true_max,detectable,abstain,model,idx,x1,x2,gated_side,dist
2,0.0002,True,0.2696373421536283,,0.7980000000027266,0,0.2696373421536283,0.2039999999999999,True,False,gated,112,0.2214897517119307,0.6775275052636118,True,0.1213366717108093
2,0.0002,True,0.2788051689795151,,0.8419999999941049,0,0.2788051689795151,0.165,True,False,gated,113,0.4690493276935906,0.6965525297485243,True,0.1682712780955596
1,0.5294,False,0.2707127046636651,,0.0490000001702693,1,0.2707127046636651,0.045,False,False,gated,114,0.9186185596483464,0.1608795695798387,False,0.2619174237053968
2,0.052,False,0.1452257861892034,0.8333549372242829,0.7144789471868405,0,0.2662504121230876,0.061,True,False,gated,115,0.0644080170093484,0.8347724154049087,True,0.2602114785942222
3,0.0002,True,0.2953871366340956,0.0432787674203033,0.3920000002405742,1,0.2987108089519827,0.414,True,False,gated,116,0.9550844352833388,0.444669807044312,False,0.0096560154694112
2,0.0002,True,0.2757526431139949,0.0406626063955543,0.88299999947544,0,0.2645398219244761,0.1969999999999999,True,False,gated,117,0.6831950957366797,0.678145637905217,True,0.1073193041572617
1,0.859,False,0.2723175407656103,,0.0270000000332906,1,0.2723175407656103,0.031,False,False,gated,118,0.6889838471559186,0.1157468154311296,False,0.3464132823718808
2,0.7284,False,0.0201469247333792,,0.7243733589020759,0,0.0201469247333792,0.021,False,False,gated,119,0.3023843082672859,0.0532893299193743,False,0.3725761913075318
2,0.0002,True,0.2788716329557822,0.0397881964876482,0.8054999151099016,0,0.2677758336288664,0.3299999999999999,True,False,gated,120,0.9059703735550216,0.58843302544394,True,0.1290303318863788
2,0.0002,True,0.2747050802586047,0.0229784141346251,0.2115000943522778,1,0.2683927931595141,0.329,True,False,gated,121,0.1909159660663715,0.4199182510349967,False,0.0983871544435342
2,0.0002,True,0.2664544775253779,,0.1610000941336128,1,0.2664544775253779,0.192,True,False,gated,122,0.6186872380914008,0.3078794963836669,False,0.2203754456518045
2,0.0038,True,0.1374604540045753,0.9481995240506738,0.6562325251599603,0,0.2678003910684514,0.0789999999999999,True,False,gated,123,0.148020034538571,0.7755655880067482,True,0.1965278106199447
2,0.0002,True,0.1346667591302661,0.949119700511905,0.3602703128257236,0,0.2624816332258423,0.112,True,False,gated,124,0.2638670443848699,0.2492884741489859,False,0.1938972698469763
2,0.9616,False,0.0040012480428667,,0.4948189458472294,0,0.0040012480428667,0.015,False,False,gated,125,0.2036469467120897,0.0447626833675489,False,0.4062405502671871
2,0.9234,False,0.1311321804622546,0.901664187993962,0.2516519179082747,1,0.0128949894449764,0.017,False,False,gated,126,0.4176685004814142,0.0752918648533738,False,0.3468491208850826
2,0.896,False,0.1386989329040139,0.8729179626775616,0.2717078758370325,0,0.2597717228410106,0.031,False,False,gated,127,0.3762244472404982,0.1321579760566613,False,0.2878441177494908
2,0.0002,True,0.2780708831059457,0.0335441598211772,0.8324999993152995,0,0.2687432289613904,0.264,True,False,gated,128,0.9615890887877956,0.6151140948269197,True,0.1213534215750545
2,0.0002,True,0.144912894809946,0.8537489998878329,0.6127953058912042,0,0.268632133825642,0.1119999999999999,True,False,gated,129,0.2954366785158956,0.7558088442786031,True,0.2258368613479529
2,0.0002,True,0.142873622829138,0.8548581878747777,0.7253038139062913,0,0.2650103091368143,0.0979999999999999,True,False,gated,130,0.7145816754263149,0.7604745035780505,True,0.1953314696859461
2,0.0002,True,0.2792682902479462,0.0231351150535632,0.2625000000644664,1,0.2857291942736675,0.394,True,False,gated,131,0.6856931931678995,0.4509023644922891,False,0.0802093646443773
2,0.0014,True,0.1464423609815191,0.8334948403394429,0.6549729503649343,0,0.268501313267575,0.0939999999999999,True,False,gated,132,0.3741520532101213,0.7621307969649567,True,0.2767673941865967
3,0.0002,True,0.2890316538668551,0.038519406828842,0.396,0,0.296055410428819,0.41,True,False,gated,133,0.8622632299537447,0.4275763376610701,True,0.0064645805724991
2,0.0032,True,0.1430807245032374,0.8367047884313824,0.740765494277376,0,0.2627970518281642,0.0839999999999999,True,False,gated,134,0.2176445877026616,0.7755136136488868,True,0.2105671218961115
2,0.8564,False,0.1329261368960649,0.8421468849697433,0.2630560507563195,0,0.2448694690149898,0.025,False,False,gated,135,0.0263719762717086,0.0783747862359551,False,0.4224491709236179
3,0.0002,True,0.0181247059094277,1.2683880888535275,0.4878082006719071,1,0.2659693450404992,0.132,True,False,gated,136,0.1021460816247877,0.2544220968971617,False,0.2659743004195797
3,0.0002,True,0.2664222741348065,0.7029923621642704,0.5860000007493307,0,0.29626709244611,0.401,True,False,gated,137,0.9456966411588618,0.5498401155714772,True,0.0736486110484061
3,0.0014,True,0.0179768246059012,1.166666333682569,0.4909419748016901,0,0.2642544957435683,0.0789999999999999,True,False,gated,138,0.471040505380035,0.8009327929435894,True,0.2574241956057364
